file,w,h,maxAbsR,maxAbsG,maxAbsB,maxAbsA,mae_rgb,mae_a,rmse_rgb,pctPixelsDiff,pctPixelsDiff_1e3,ssim_luma,worstX,worstY,nonFiniteLeft,nonFiniteRight
audiovis/pixels/audiovis.bounds.much-larger_s0.5_t5.75_export_con.raw,128,72,0.65625,0.65625,0.65625,0.65625,0.00134087,0.00134087,0.025499,0.390625,0.390625,0.995724,24,34,0,0
audiovis/pixels/audiovis.bounds.much-larger_s0.5_t5.75_preview_con.raw,128,72,0.65625,0.65625,0.65625,0.65625,0.00134087,0.00134087,0.025499,0.390625,0.390625,0.995724,24,34,0,0
audiovis/pixels/audiovis.bounds.much-larger_s1_t5.75_export_con.raw,256,144,1,1,1,1,0.00134871,0.00134871,0.0302496,0.249566,0.249566,0.995352,48,68,0,0
audiovis/pixels/audiovis.bounds.much-larger_s1_t5.75_preview_con.raw,256,144,1,1,1,1,0.00134871,0.00134871,0.0302496,0.249566,0.249566,0.995352,48,68,0,0
audiovis/pixels/audiovis.bounds.much-larger_s2_t5.75_export_con.raw,512,288,1,1,1,1,0.00138717,0.00138717,0.0340796,0.189887,0.189887,0.995569,78,133,0,0
audiovis/pixels/audiovis.bounds.much-larger_s2_t5.75_preview_con.raw,512,288,1,1,1,1,0.00138717,0.00138717,0.0340796,0.189887,0.189887,0.995569,78,133,0,0
audiovis/pixels/audiovis.fx.chain.five_s0.5_t5.75_export_con.raw,128,72,0,0.0517578,0,0.0595703,4.19861E-05,0.000118282,0.000911869,1.69271,1.19358,0.999974,54,63,0,0
audiovis/pixels/audiovis.fx.chain.five_s0.5_t5.75_preview_con.raw,128,72,0,0.0517578,0,0.0595703,4.19861E-05,0.000118282,0.000911869,1.69271,1.19358,0.999974,54,63,0,0
audiovis/pixels/audiovis.fx.chain.five_s1_t5.75_export_con.raw,256,144,0,0.0872803,0,0.0761719,3.53552E-05,9.80165E-05,0.00102508,1.53537,0.952148,0.999944,111,128,0,0
audiovis/pixels/audiovis.fx.chain.five_s1_t5.75_preview_con.raw,256,144,0,0.0872803,0,0.0761719,3.53552E-05,9.80165E-05,0.00102508,1.53537,0.952148,0.999944,111,128,0,0
audiovis/pixels/audiovis.fx.chain.five_s2_t5.75_export_con.raw,512,288,0,0.0871582,0,0.0756836,3.35255E-05,9.26778E-05,0.000970636,1.53673,0.938585,0.999838,223,256,0,0
audiovis/pixels/audiovis.fx.chain.five_s2_t5.75_preview_con.raw,512,288,0,0.0871582,0,0.0756836,3.35255E-05,9.26778E-05,0.000970636,1.53673,0.938585,0.999838,223,256,0,0
audiovis/pixels/audiovis.fx.spec.blur6_s0.5_t5.75_export_con.raw,128,72,0.0065918,0.0065918,0.0065918,0.0065918,3.74532E-05,3.74532E-05,0.000345024,2.72352,1.00911,0.999999,54,63,0,0
audiovis/pixels/audiovis.fx.spec.blur6_s0.5_t5.75_preview_con.raw,128,72,0.0065918,0.0065918,0.0065918,0.0065918,3.74532E-05,3.74532E-05,0.000345024,2.72352,1.00911,0.999999,54,63,0,0
audiovis/pixels/audiovis.fx.spec.blur6_s1_t5.75_export_con.raw,256,144,0.0183105,0.0183105,0.0183105,0.0183105,0.000117066,0.000117066,0.00104231,2.9541,1.80393,0.999962,108,129,0,0
audiovis/pixels/audiovis.fx.spec.blur6_s1_t5.75_preview_con.raw,256,144,0.0183105,0.0183105,0.0183105,0.0183105,0.000117066,0.000117066,0.00104231,2.9541,1.80393,0.999962,108,129,0,0
audiovis/pixels/audiovis.fx.spec.blur6_s2_t5.75_export_con.raw,512,288,0.0158691,0.0158691,0.0158691,0.0158691,0.000100768,0.000100768,0.000901008,2.85916,1.73882,0.999973,215,260,0,0
audiovis/pixels/audiovis.fx.spec.blur6_s2_t5.75_preview_con.raw,512,288,0.0158691,0.0158691,0.0158691,0.0158691,0.000100768,0.000100768,0.000901008,2.85916,1.73882,0.999973,215,260,0,0
audiovis/pixels/audiovis.fx.spec.dropshadow_s0.5_t5.75_export_con.raw,128,72,0.498047,0.498047,0.398926,0.0390625,0.000106434,7.97775E-05,0.0059718,1.50825,0.93316,0.999847,53,65,0,0
audiovis/pixels/audiovis.fx.spec.dropshadow_s0.5_t5.75_preview_con.raw,128,72,0.498047,0.498047,0.398926,0.0390625,0.000106434,7.97775E-05,0.0059718,1.50825,0.93316,0.999847,53,65,0,0
audiovis/pixels/audiovis.fx.spec.dropshadow_s1_t5.75_export_con.raw,256,144,0.501953,0.501953,0.407959,0.0654297,9.26996E-05,6.44384E-05,0.00645564,1.26682,0.832791,0.999791,105,129,0,0
audiovis/pixels/audiovis.fx.spec.dropshadow_s1_t5.75_preview_con.raw,256,144,0.501953,0.501953,0.407959,0.0654297,9.26996E-05,6.44384E-05,0.00645564,1.26682,0.832791,0.999791,105,129,0,0
audiovis/pixels/audiovis.fx.spec.dropshadow_s2_t5.75_export_con.raw,512,288,1,1,0.796997,0.0961914,9.31818E-05,6.52545E-05,0.00739354,1.41602,0.809733,0.99985,210,259,0,0
audiovis/pixels/audiovis.fx.spec.dropshadow_s2_t5.75_preview_con.raw,512,288,1,1,0.796997,0.0961914,9.31818E-05,6.52545E-05,0.00739354,1.41602,0.809733,0.99985,210,259,0,0
audiovis/pixels/audiovis.group.blurred_s0.5_t5.75_export_con.raw,128,72,0.00482178,0.00482178,0.00482178,0.00482178,1.83586E-05,1.83586E-05,0.000213946,2.11589,0.607639,0.999985,53,56,0,0
audiovis/pixels/audiovis.group.blurred_s0.5_t5.75_preview_con.raw,128,72,0.00482178,0.00482178,0.00482178,0.00482178,1.83586E-05,1.83586E-05,0.000213946,2.11589,0.607639,0.999985,53,56,0,0
audiovis/pixels/audiovis.group.blurred_s1_t5.75_export_con.raw,256,144,0.0117188,0.0117188,0.0117188,0.0117188,3.38679E-05,3.38679E-05,0.000448044,1.89887,0.71072,0.999968,108,111,0,0
audiovis/pixels/audiovis.group.blurred_s1_t5.75_preview_con.raw,256,144,0.0117188,0.0117188,0.0117188,0.0117188,3.38679E-05,3.38679E-05,0.000448044,1.89887,0.71072,0.999968,108,111,0,0
audiovis/pixels/audiovis.group.blurred_s2_t5.75_export_con.raw,512,288,0.0065918,0.0065918,0.0065918,0.0065918,1.80662E-05,1.80662E-05,0.000237798,2.00467,0.479465,0.999986,214,224,0,0
audiovis/pixels/audiovis.group.blurred_s2_t5.75_preview_con.raw,512,288,0.0065918,0.0065918,0.0065918,0.0065918,1.80662E-05,1.80662E-05,0.000237798,2.00467,0.479465,0.999986,214,224,0,0
